round,Labeler_tokens,LongMem_tokens,Labeler_tool_calls,LongMem_tool_calls
1,2216,0,0,0
2,2175,0,0,0
3,2319,0,0,0
4,2319,0,0,0
5,2435,1030,0,0
6,2479,0,0,0
7,2556,0,0,0
8,2507,0,0,0
9,2586,0,0,0
10,2638,984,0,0
11,2499,0,0,0
12,2438,0,0,0
13,3282,0,0,0
14,2610,0,0,0
15,2497,1027,0,0
16,2509,0,0,0
17,2639,0,0,0
18,2675,0,0,0
19,2840,0,0,0
20,2633,1084,0,0
21,2725,0,0,0
22,2685,0,0,0
23,2637,0,0,0
24,2710,0,0,0
25,2534,929,0,0
26,2557,0,0,0
27,2463,0,0,0
28,2428,0,0,0
29,2320,0,0,0
30,2560,1025,0,0
31,2348,0,0,0
32,2348,0,0,0
33,2468,0,0,0
34,2452,0,0,0
35,2463,842,0,0
36,2584,0,0,0
37,2555,0,0,0
38,2522,0,0,0
39,2477,0,0,0
40,2488,989,0,0
41,2477,0,0,0
42,2618,0,0,0
43,2566,0,0,0
44,2778,0,0,0
45,2659,987,0,0
46,2661,0,0,0
47,2476,0,0,0
48,2757,0,0,0
49,2345,0,0,0
50,2321,1083,0,0
51,2322,0,0,0
52,2393,0,0,0
53,2364,0,0,0
54,2355,0,0,0
55,2300,1026,0,0
56,2276,0,0,0
57,2383,0,0,0
58,2240,0,0,0
59,2432,0,0,0
60,2345,1444,0,0
61,3007,0,0,0
62,2441,0,0,0
63,2638,0,0,0
64,2627,0,0,0
65,2763,1089,0,0
66,2538,0,0,0
67,2603,0,0,0
68,2508,0,0,0
69,2623,0,0,0
70,2604,1075,0,0
71,2609,0,0,0
72,2622,0,0,0
73,2663,0,0,0
74,2593,0,0,0
75,2703,997,0,0
76,2601,0,0,0
77,2531,0,0,0
78,2556,0,0,0
79,2519,0,0,0
80,2481,1375,0,0
81,2557,0,0,0
82,2548,0,0,0
83,2510,0,0,0
84,2364,0,0,0
85,2444,824,0,0
86,2448,0,0,0
87,2653,0,0,0
88,2518,0,0,0
89,2517,0,0,0
90,2544,976,0,0
91,2538,0,0,0
92,2667,0,0,0
93,2681,0,0,0
94,2649,0,0,0
